AMAZONAS – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),542,180,2598,9936,0,1449691,7580,56049,518,32049,0,0
Mudanças efetivas,43,0,3817,7656,0,125,0,47,103,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,43,0,3817,7656,0,125,0,47,103,0,0,0
Mudanças efetivas,0,77,66,660,0,10794,16,132,46,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,77,66,660,0,10794,16,132,46,0,0,0
Saldo mudanças efetivas,43,-77,3751,6996,0,-10669,-16,-85,57,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),585,103,6349,16932,0,1439022,7564,55964,575,32049,0,0
Mudanças efetivas,7,3,765,1493,0,21,0,2,16,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,7,3,765,1493,0,21,0,2,16,0,0,0
Mudanças efetivas,0,0,22,246,0,2010,2,17,10,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,22,246,0,2010,2,17,10,0,0,0
Saldo mudanças efetivas,7,3,743,1247,0,-1989,-2,-15,6,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),592,106,7092,18179,0,1437033,7562,55949,581,32049,0,0
Mudanças efetivas,5,0,406,2026,0,107,51,213,9,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,5,0,406,2026,0,107,51,213,9,0,0,0
Mudanças efetivas,0,37,16,235,0,2256,214,57,2,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,37,16,235,0,2256,214,57,2,0,0,0
Saldo mudanças efetivas,5,-37,390,1791,0,-2149,-163,156,7,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),597,69,7482,19970,0,1434884,7399,56105,588,32049,0,0
Mudanças efetivas,2,1,426,3806,0,57,0,3,29,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,2,1,426,3806,0,57,0,3,29,0,0,0
Mudanças efetivas,0,2,60,238,0,3991,7,24,2,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,2,60,238,0,3991,7,24,2,0,0,0
Saldo mudanças efetivas,2,-1,366,3568,0,-3934,-7,-21,27,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),599,68,7848,23538,0,1430950,7392,56084,615,32049,0,0
Mudanças efetivas,9,15,752,2239,0,1332,0,4,15,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,9,15,752,2239,0,1332,0,4,15,0,0,0
Mudanças efetivas,0,0,187,1890,0,2270,0,16,3,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,187,1890,0,2270,0,16,3,0,0,0
Saldo mudanças efetivas,9,15,565,349,0,-938,0,-12,12,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),608,83,8413,23887,0,1430012,7392,56072,627,32049,0,0
Mudanças efetivas,14,47,1350,2168,1,734,0,16,8,0,0,0
Reavaliações para cima,35,0,0,102,0,81,1,6,3,39,0,0
Total de adições ao estoque,49,47,1350,2270,1,815,1,22,11,39,0,0
Mudanças efetivas,0,0,57,1835,0,2386,0,32,28,0,0,0
Reavaliações para baixo,101,0,2,32,0,39,1,0,0,92,0,0
Total de reduções do estoque,101,0,59,1867,0,2425,1,32,28,92,0,0
Saldo mudanças efetivas,14,47,1293,333,1,-1652,0,-16,-20,0,0,0
Saldo reavaliações,-66,0,-2,70,0,42,0,6,3,-53,0,0
Estoque (2020),556,130,9704,24290,1,1428402,7392,56062,610,31996,0,0
