BRASIL – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),34567,458975,885186,844506,50543,4039569,33888,1818102,232340,128749,222461,3680
Mudanças efetivas,1650,99400,237614,81879,21535,1628,104,1208,18533,0,0,19
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,1650,99400,237614,81879,21535,1628,104,1208,18533,0,0,19
Mudanças efetivas,0,2143,23769,99408,2234,217677,115,108310,9910,0,0,4
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,2143,23769,99408,2234,217677,115,108310,9910,0,0,4
Saldo mudanças efetivas,1650,97257,213845,-17529,19301,-216049,-11,-107102,8623,0,0,15
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),36217,556232,1099031,826977,69844,3823520,33877,1711000,240963,128749,222461,3695
Mudanças efetivas,513,28329,36210,24237,8310,731,62,714,10206,0,0,8
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,513,28329,36210,24237,8310,731,62,714,10206,0,0,8
Mudanças efetivas,0,793,9135,24534,2083,36987,140,32187,3454,0,0,7
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,793,9135,24534,2083,36987,140,32187,3454,0,0,7
Saldo mudanças efetivas,513,27536,27075,-297,6227,-36256,-78,-31473,6752,0,0,1
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),36730,583768,1126106,826680,76071,3787264,33799,1679527,247715,128749,222461,3696
Mudanças efetivas,731,42328,22634,15303,6566,1950,194,1435,6075,0,0,4
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,731,42328,22634,15303,6566,1950,194,1435,6075,0,0,4
Mudanças efetivas,0,1464,24916,17959,501,24435,220,24371,3353,0,0,1
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,1464,24916,17959,501,24435,220,24371,3353,0,0,1
Saldo mudanças efetivas,731,40864,-2282,-2656,6065,-22485,-26,-22936,2722,0,0,3
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),37461,624632,1123824,824024,82136,3764779,33773,1656591,250437,128749,222461,3699
Mudanças efetivas,312,19764,9016,25230,1775,1030,202,845,4621,0,0,45
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,312,19764,9016,25230,1775,1030,202,845,4621,0,0,45
Mudanças efetivas,0,627,13947,9360,265,25785,102,10553,2201,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,627,13947,9360,265,25785,102,10553,2201,0,0,0
Saldo mudanças efetivas,312,19137,-4931,15870,1510,-24755,100,-9708,2420,0,0,45
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),37773,643769,1118893,839894,83646,3740024,33873,1646883,252857,128749,222461,3744
Mudanças efetivas,550,24239,25994,16820,3065,10979,0,1913,3666,153,0,5
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,550,24239,25994,16820,3065,10979,0,1913,3666,153,0,5
Mudanças efetivas,29,3224,19693,27643,760,18767,5,13349,3914,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,29,3224,19693,27643,760,18767,5,13349,3914,0,0,0
Saldo mudanças efetivas,521,21015,6301,-10823,2305,-7788,-5,-11436,-248,153,0,5
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),38294,664784,1125194,829071,85951,3732236,33868,1635447,252609,128902,222461,3749
Mudanças efetivas,1123,23515,23855,12783,1903,3604,0,1036,2156,47,0,0
Reavaliações para cima,4289,2939,432,3381,6,673,3,421,1631,1380,2922,14
Total de adições ao estoque,5412,26454,24287,16164,1909,4277,3,1457,3787,1427,2922,14
Mudanças efetivas,21,2171,17030,19291,1218,17131,275,10877,2008,0,0,0
Reavaliações para baixo,6319,167,238,5003,32,491,11,436,1184,3201,988,21
Total de reduções do estoque,6340,2338,17268,24294,1250,17622,286,11313,3192,3201,988,21
Saldo mudanças efetivas,1102,21344,6825,-6508,685,-13527,-275,-9841,148,47,0,0
Saldo reavaliações,-2030,2772,194,-1622,-26,182,-8,-15,447,-1821,1934,-7
Estoque (2020),37366,688900,1132213,820941,86610,3718891,33585,1625591,253204,127128,224395,3742
