ESPÍRITO SANTO – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),608,739,9813,25366,2224,3855,0,1712,1567,171,12,0
Mudanças efetivas,12,1187,185,447,435,6,0,1,20,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,12,1187,185,447,435,6,0,1,20,0,0,0
Mudanças efetivas,0,12,104,1511,224,384,0,22,36,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,12,104,1511,224,384,0,22,36,0,0,0
Saldo mudanças efetivas,12,1175,81,-1064,211,-378,0,-21,-16,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),620,1914,9894,24302,2435,3477,0,1691,1551,171,12,0
Mudanças efetivas,1,147,7,275,44,2,0,1,9,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,1,147,7,275,44,2,0,1,9,0,0,0
Mudanças efetivas,0,2,3,198,215,58,0,8,2,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,2,3,198,215,58,0,8,2,0,0,0
Saldo mudanças efetivas,1,145,4,77,-171,-56,0,-7,7,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),621,2059,9898,24379,2264,3421,0,1684,1558,171,12,0
Mudanças efetivas,1,11,10,1,10,6,0,0,0,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,1,11,10,1,10,6,0,0,0,0,0,0
Mudanças efetivas,0,0,2,33,4,0,0,0,0,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,2,33,4,0,0,0,0,0,0,0
Saldo mudanças efetivas,1,11,8,-32,6,6,0,0,0,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),622,2070,9906,24347,2270,3427,0,1684,1558,171,12,0
Mudanças efetivas,0,2,4,26,1,48,0,0,4,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,0,2,4,26,1,48,0,0,4,0,0,0
Mudanças efetivas,0,9,25,49,0,0,0,2,0,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,9,25,49,0,0,0,2,0,0,0,0
Saldo mudanças efetivas,0,-7,-21,-23,1,48,0,-2,4,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),622,2063,9885,24324,2271,3475,0,1682,1562,171,12,0
Mudanças efetivas,0,44,28,44,80,0,0,0,4,1,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,0,44,28,44,80,0,0,0,4,1,0,0
Mudanças efetivas,0,34,90,46,1,8,0,22,0,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,34,90,46,1,8,0,22,0,0,0,0
Saldo mudanças efetivas,0,10,-62,-2,79,-8,0,-22,4,1,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),622,2073,9823,24322,2350,3467,0,1660,1566,172,12,0
Mudanças efetivas,9,11,1,0,95,0,0,0,0,0,0,0
Reavaliações para cima,27,24,4,116,1,17,0,1,8,0,0,0
Total de adições ao estoque,36,35,5,116,96,17,0,1,8,0,0,0
Mudanças efetivas,0,54,33,27,1,0,0,0,1,0,0,0
Reavaliações para baixo,146,0,0,48,1,1,0,0,1,1,0,0
Total de reduções do estoque,146,54,33,75,2,1,0,0,2,1,0,0
Saldo mudanças efetivas,9,-43,-32,-27,94,0,0,0,-1,0,0,0
Saldo reavaliações,-119,24,4,68,0,16,0,1,7,-1,0,0
Estoque (2020),512,2054,9795,24363,2444,3483,0,1661,1572,171,12,0
