GOIÁS – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),2060,46984,133612,9646,528,30355,32,111342,3189,2505,0,0
Mudanças efetivas,102,10689,23470,183,445,97,0,32,134,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,102,10689,23470,183,445,97,0,32,134,0,0,0
Mudanças efetivas,0,357,3732,5975,51,7215,0,16153,1669,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,357,3732,5975,51,7215,0,16153,1669,0,0,0
Saldo mudanças efetivas,102,10332,19738,-5792,394,-7118,0,-16121,-1535,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),2162,57316,153350,3854,922,23237,32,95221,1654,2505,0,0
Mudanças efetivas,47,2808,3553,131,228,2,0,2,103,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,47,2808,3553,131,228,2,0,2,103,0,0,0
Mudanças efetivas,0,142,1234,876,11,1184,0,3200,227,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,142,1234,876,11,1184,0,3200,227,0,0,0
Saldo mudanças efetivas,47,2666,2319,-745,217,-1182,0,-3198,-124,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),2209,59982,155669,3109,1139,22055,32,92023,1530,2505,0,0
Mudanças efetivas,53,3969,786,1,183,2,0,19,2,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,53,3969,786,1,183,2,0,19,2,0,0,0
Mudanças efetivas,0,38,2373,492,13,428,0,1427,244,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,38,2373,492,13,428,0,1427,244,0,0,0
Saldo mudanças efetivas,53,3931,-1587,-491,170,-426,0,-1408,-242,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),2262,63913,154082,2618,1309,21629,32,90615,1288,2505,0,0
Mudanças efetivas,7,873,111,3,25,21,0,3,4,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,7,873,111,3,25,21,0,3,4,0,0,0
Mudanças efetivas,0,23,529,105,73,35,0,183,99,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,23,529,105,73,35,0,183,99,0,0,0
Saldo mudanças efetivas,7,850,-418,-102,-48,-14,0,-180,-95,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),2269,64763,153664,2516,1261,21615,32,90435,1193,2505,0,0
Mudanças efetivas,22,2002,647,87,84,15,0,72,99,34,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,22,2002,647,87,84,15,0,72,99,34,0,0
Mudanças efetivas,0,153,1957,61,30,80,0,726,55,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,153,1957,61,30,80,0,726,55,0,0,0
Saldo mudanças efetivas,22,1849,-1310,26,54,-65,0,-654,44,34,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),2291,66612,152354,2542,1315,21550,32,89781,1237,2539,0,0
Mudanças efetivas,43,1830,835,6,7,4,0,11,33,7,0,0
Reavaliações para cima,83,22,61,193,0,29,0,37,238,3,0,0
Total de adições ao estoque,126,1852,896,199,7,33,0,48,271,10,0,0
Mudanças efetivas,0,99,1641,58,61,140,0,738,39,0,0,0
Reavaliações para baixo,541,6,21,12,0,1,0,4,43,38,0,0
Total de reduções do estoque,541,105,1662,70,61,141,0,742,82,38,0,0
Saldo mudanças efetivas,43,1731,-806,-52,-54,-136,0,-727,-6,7,0,0
Saldo reavaliações,-458,16,40,181,0,28,0,33,195,-35,0,0
Estoque (2020),1876,68359,151588,2671,1261,21442,32,89087,1426,2511,0,0
