MINAS GERAIS – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),3863,33102,108732,159615,12709,56940,5,170366,36617,4599,0,0
Mudanças efetivas,129,10688,8348,2218,5222,104,0,147,1756,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,129,10688,8348,2218,5222,104,0,147,1756,0,0,0
Mudanças efetivas,0,321,4781,6584,969,2676,1,11130,2150,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,321,4781,6584,969,2676,1,11130,2150,0,0,0
Saldo mudanças efetivas,129,10367,3567,-4366,4253,-2572,-1,-10983,-394,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),3992,43469,112299,155249,16962,54368,4,159383,36223,4599,0,0
Mudanças efetivas,41,2670,4044,1950,2431,82,0,112,1374,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,41,2670,4044,1950,2431,82,0,112,1374,0,0,0
Mudanças efetivas,0,93,1176,2400,827,1836,2,5454,916,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,93,1176,2400,827,1836,2,5454,916,0,0,0
Saldo mudanças efetivas,41,2577,2868,-450,1604,-1754,-2,-5342,458,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),4033,46046,115167,154799,18566,52614,2,154041,36681,4599,0,0
Mudanças efetivas,25,1433,1446,31,1029,3,0,2,108,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,25,1433,1446,31,1029,3,0,2,108,0,0,0
Mudanças efetivas,0,47,1128,1015,144,167,0,996,580,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,47,1128,1015,144,167,0,996,580,0,0,0
Saldo mudanças efetivas,25,1386,318,-984,885,-164,0,-994,-472,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),4058,47432,115485,153815,19451,52450,2,153047,36209,4599,0,0
Mudanças efetivas,18,2087,657,902,231,35,0,43,1776,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,18,2087,657,902,231,35,0,43,1776,0,0,0
Mudanças efetivas,0,43,1019,684,115,950,0,2447,491,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,43,1019,684,115,950,0,2447,491,0,0,0
Saldo mudanças efetivas,18,2044,-362,218,116,-915,0,-2404,1285,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),4076,49476,115123,154033,19567,51535,2,150643,37494,4599,0,0
Mudanças efetivas,63,1094,441,93,275,122,0,43,160,36,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,63,1094,441,93,275,122,0,43,160,36,0,0
Mudanças efetivas,0,121,688,519,102,67,0,515,315,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,121,688,519,102,67,0,515,315,0,0,0
Saldo mudanças efetivas,63,973,-247,-426,173,55,0,-472,-155,36,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),4139,50449,114876,153607,19740,51590,2,150171,37339,4635,0,0
Mudanças efetivas,135,1813,699,20,137,25,0,112,101,6,0,0
Reavaliações para cima,347,1726,98,337,0,68,0,56,177,6,0,0
Total de adições ao estoque,482,3539,797,357,137,93,0,168,278,12,0,0
Mudanças efetivas,0,108,1284,241,537,33,0,523,322,0,0,0
Reavaliações para baixo,680,2,44,1690,22,52,0,49,210,66,0,0
Total de reduções do estoque,680,110,1328,1931,559,85,0,572,532,66,0,0
Saldo mudanças efetivas,135,1705,-585,-221,-400,-8,0,-411,-221,6,0,0
Saldo reavaliações,-333,1724,54,-1353,-22,16,0,7,-33,-60,0,0
Estoque (2020),3941,53878,114345,152033,19318,51598,2,149767,37085,4581,0,0
