MATO GROSSO DO SUL – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),870,28633,156353,6913,3169,46495,6126,102259,3384,2926,0,0
Mudanças efetivas,25,4262,8975,247,930,26,76,218,212,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,25,4262,8975,247,930,26,76,218,212,0,0,0
Mudanças efetivas,0,203,3034,1506,74,1153,69,7855,1077,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,203,3034,1506,74,1153,69,7855,1077,0,0,0
Saldo mudanças efetivas,25,4059,5941,-1259,856,-1127,7,-7637,-865,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),895,32692,162294,5654,4025,45368,6133,94622,2519,2926,0,0
Mudanças efetivas,15,2005,1918,25,2199,91,15,141,35,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,15,2005,1918,25,2199,91,15,141,35,0,0,0
Mudanças efetivas,0,129,2878,734,97,286,83,2025,212,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,129,2878,734,97,286,83,2025,212,0,0,0
Saldo mudanças efetivas,15,1876,-960,-709,2102,-195,-68,-1884,-177,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),910,34568,161334,4945,6127,45173,6065,92738,2342,2926,0,0
Mudanças efetivas,6,6592,778,237,2603,3,77,8,29,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,6,6592,778,237,2603,3,77,8,29,0,0,0
Mudanças efetivas,0,259,7426,499,16,200,1,1714,218,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,259,7426,499,16,200,1,1714,218,0,0,0
Saldo mudanças efetivas,6,6333,-6648,-262,2587,-197,76,-1706,-189,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),916,40901,154686,4683,8714,44976,6141,91032,2153,2926,0,0
Mudanças efetivas,2,2463,255,17,716,25,129,96,93,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,2,2463,255,17,716,25,129,96,93,0,0,0
Mudanças efetivas,0,34,2665,211,6,52,82,558,188,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,34,2665,211,6,52,82,558,188,0,0,0
Saldo mudanças efetivas,2,2429,-2410,-194,710,-27,47,-462,-95,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),918,43330,152276,4489,9424,44949,6188,90570,2058,2926,0,0
Mudanças efetivas,1,2523,1487,150,1441,72,0,37,159,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,1,2523,1487,150,1441,72,0,37,159,0,0,0
Mudanças efetivas,0,391,3853,234,151,364,0,773,104,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,391,3853,234,151,364,0,773,104,0,0,0
Saldo mudanças efetivas,1,2132,-2366,-84,1290,-292,0,-736,55,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),919,45462,149910,4405,10714,44657,6188,89834,2113,2926,0,0
Mudanças efetivas,23,3478,1476,33,387,5,0,223,24,10,0,0
Reavaliações para cima,72,24,30,44,0,12,0,7,74,2,0,0
Total de adições ao estoque,95,3502,1506,77,387,17,0,230,98,12,0,0
Mudanças efetivas,0,160,3758,81,58,357,222,984,39,0,0,0
Reavaliações para baixo,175,3,23,15,0,7,0,1,40,1,0,0
Total de reduções do estoque,175,163,3781,96,58,364,222,985,79,1,0,0
Saldo mudanças efetivas,23,3318,-2282,-48,329,-352,-222,-761,-15,10,0,0
Saldo reavaliações,-103,21,7,29,0,5,0,6,34,1,0,0
Estoque (2020),839,48801,147635,4386,11043,44310,5966,89079,2132,2937,0,0
