MATO GROSSO – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),1117,68582,144103,24657,266,426760,8616,224064,2739,2308,0,3
Mudanças efetivas,153,23279,49701,9222,667,239,26,82,453,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,153,23279,49701,9222,667,239,26,82,453,0,0,0
Mudanças efetivas,0,425,4276,10463,1,52858,29,15291,479,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,425,4276,10463,1,52858,29,15291,479,0,0,0
Saldo mudanças efetivas,153,22854,45425,-1241,666,-52619,-3,-15209,-26,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),1270,91436,189528,23416,932,374141,8613,208855,2713,2308,0,3
Mudanças efetivas,23,4575,6958,3814,191,104,24,117,138,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,23,4575,6958,3814,191,104,24,117,138,0,0,0
Mudanças efetivas,0,133,1595,3189,1,9137,52,1647,190,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,133,1595,3189,1,9137,52,1647,190,0,0,0
Saldo mudanças efetivas,23,4442,5363,625,190,-9033,-28,-1530,-52,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),1293,95878,194891,24041,1122,365108,8585,207325,2661,2308,0,3
Mudanças efetivas,35,12880,3817,1779,192,981,15,91,57,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,35,12880,3817,1779,192,981,15,91,57,0,0,0
Mudanças efetivas,0,229,7586,3743,30,5769,5,2323,162,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,229,7586,3743,30,5769,5,2323,162,0,0,0
Saldo mudanças efetivas,35,12651,-3769,-1964,162,-4788,10,-2232,-105,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),1328,108529,191122,22077,1284,360320,8595,205093,2556,2308,0,3
Mudanças efetivas,9,5241,1029,2728,45,61,58,17,67,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,9,5241,1029,2728,45,61,58,17,67,0,0,0
Mudanças efetivas,0,160,4091,1196,8,3176,7,569,48,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,160,4091,1196,8,3176,7,569,48,0,0,0
Saldo mudanças efetivas,9,5081,-3062,1532,37,-3115,51,-552,19,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),1337,113610,188060,23609,1321,357205,8646,204541,2575,2308,0,3
Mudanças efetivas,78,6780,7401,3031,135,1057,0,169,298,4,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,78,6780,7401,3031,135,1057,0,169,298,4,0,0
Mudanças efetivas,0,1192,5908,5253,131,4020,4,2035,410,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,1192,5908,5253,131,4020,4,2035,410,0,0,0
Saldo mudanças efetivas,78,5588,1493,-2222,4,-2963,-4,-1866,-112,4,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),1415,119198,189553,21387,1325,354242,8642,202675,2463,2312,0,3
Mudanças efetivas,74,6261,5360,2159,71,703,0,94,214,0,0,0
Reavaliações para cima,89,6,22,133,0,29,0,17,73,10,0,0
Total de adições ao estoque,163,6267,5382,2292,71,732,0,111,287,10,0,0
Mudanças efetivas,11,668,4903,4302,48,3181,45,1581,197,0,0,0
Reavaliações para baixo,259,13,16,17,0,4,6,9,34,21,0,0
Total de reduções do estoque,270,681,4919,4319,48,3185,51,1590,231,21,0,0
Saldo mudanças efetivas,63,5593,457,-2143,23,-2478,-45,-1487,17,0,0,0
Saldo reavaliações,-170,-7,6,116,0,25,-6,8,39,-11,0,0
Estoque (2020),1308,124784,190016,19360,1348,351789,8591,201196,2519,2301,0,3
