PARÁ – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),1392,1086,74111,65768,601,1005023,2760,56862,3214,34744,232,117
Mudanças efetivas,259,1813,73009,34707,749,627,1,66,552,0,0,1
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,259,1813,73009,34707,749,627,1,66,552,0,0,1
Mudanças efetivas,0,72,1767,19892,25,88426,0,1441,161,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,72,1767,19892,25,88426,0,1441,161,0,0,0
Saldo mudanças efetivas,259,1741,71242,14815,724,-87799,1,-1375,391,0,0,1
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),1651,2827,145353,80583,1325,917224,2761,55487,3605,34744,232,118
Mudanças efetivas,54,301,7316,7478,283,141,0,53,153,0,0,4
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,54,301,7316,7478,283,141,0,53,153,0,0,4
Mudanças efetivas,0,12,425,3786,17,11218,1,245,79,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,12,425,3786,17,11218,1,245,79,0,0,0
Saldo mudanças efetivas,54,289,6891,3692,266,-11077,-1,-192,74,0,0,4
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),1705,3116,152244,84275,1591,906147,2760,55295,3679,34744,232,122
Mudanças efetivas,250,2649,4548,3364,183,241,5,12,54,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,250,2649,4548,3364,183,241,5,12,54,0,0,0
Mudanças efetivas,0,38,2269,3599,0,5200,0,170,30,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,38,2269,3599,0,5200,0,170,30,0,0,0
Saldo mudanças efetivas,250,2611,2279,-235,183,-4959,5,-158,24,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),1955,5727,154523,84040,1774,901188,2765,55137,3703,34744,232,122
Mudanças efetivas,67,1540,1960,11473,125,311,0,7,98,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,67,1540,1960,11473,125,311,0,7,98,0,0,0
Mudanças efetivas,0,26,2836,2072,3,10453,0,174,17,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,26,2836,2072,3,10453,0,174,17,0,0,0
Saldo mudanças efetivas,67,1514,-876,9401,122,-10142,0,-167,81,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),2022,7241,153647,93441,1896,891046,2765,54970,3784,34744,232,122
Mudanças efetivas,116,1977,6288,6112,171,4371,0,48,145,1,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,116,1977,6288,6112,171,4371,0,48,145,1,0,0
Mudanças efetivas,24,60,2425,9568,159,6481,1,353,158,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,24,60,2425,9568,159,6481,1,353,158,0,0,0
Saldo mudanças efetivas,92,1917,3863,-3456,12,-2110,-1,-305,-13,1,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),2114,9158,157510,89985,1908,888936,2764,54665,3771,34745,232,122
Mudanças efetivas,188,1462,5969,4988,186,1514,0,3,38,0,0,0
Reavaliações para cima,79,1,10,374,0,61,1,43,10,259,92,1
Total de adições ao estoque,267,1463,5979,5362,186,1575,1,46,48,259,92,1
Mudanças efetivas,10,120,1468,6159,72,6231,0,233,55,0,0,0
Reavaliações para baixo,449,5,21,45,0,151,0,6,2,120,132,0
Total de reduções do estoque,459,125,1489,6204,72,6382,0,239,57,120,132,0
Saldo mudanças efetivas,178,1342,4501,-1171,114,-4717,0,-230,-17,0,0,0
Saldo reavaliações,-370,-4,-11,329,0,-90,1,37,8,139,-40,1
Estoque (2020),1922,10496,162000,89143,2022,884129,2765,54472,3762,34884,192,123
