PERNAMBUCO – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),862,2431,4130,15540,0,4854,0,55673,13688,853,23,0
Mudanças efetivas,34,381,145,158,0,0,0,106,2701,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,34,381,145,158,0,0,0,106,2701,0,0,0
Mudanças efetivas,0,38,0,243,0,186,0,2897,161,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,38,0,243,0,186,0,2897,161,0,0,0
Saldo mudanças efetivas,34,343,145,-85,0,-186,0,-2791,2540,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),896,2774,4275,15455,0,4668,0,52882,16228,853,23,0
Mudanças efetivas,11,187,0,178,0,0,0,15,2249,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,11,187,0,178,0,0,0,15,2249,0,0,0
Mudanças efetivas,0,3,4,12,0,187,0,2379,55,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,3,4,12,0,187,0,2379,55,0,0,0
Saldo mudanças efetivas,11,184,-4,166,0,-187,0,-2364,2194,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),907,2958,4271,15621,0,4481,0,50518,18422,853,23,0
Mudanças efetivas,18,25,116,67,0,85,0,156,604,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,18,25,116,67,0,85,0,156,604,0,0,0
Mudanças efetivas,0,187,0,96,0,68,0,510,210,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,187,0,96,0,68,0,510,210,0,0,0
Saldo mudanças efetivas,18,-162,116,-29,0,17,0,-354,394,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),925,2796,4387,15592,0,4498,0,50164,18816,853,23,0
Mudanças efetivas,13,15,119,23,0,22,0,235,198,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,13,15,119,23,0,22,0,235,198,0,0,0
Mudanças efetivas,0,8,4,29,0,19,0,270,295,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,8,4,29,0,19,0,270,295,0,0,0
Saldo mudanças efetivas,13,7,115,-6,0,3,0,-35,-97,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),938,2803,4502,15586,0,4501,0,50129,18719,853,23,0
Mudanças efetivas,19,33,26,33,1,15,0,54,341,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,19,33,26,33,1,15,0,54,341,0,0,0
Mudanças efetivas,0,7,66,33,0,27,0,301,88,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,7,66,33,0,27,0,301,88,0,0,0
Saldo mudanças efetivas,19,26,-40,0,1,-12,0,-247,253,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),957,2829,4462,15586,1,4489,0,49882,18972,853,23,0
Mudanças efetivas,14,41,22,6,0,0,0,2,61,1,0,0
Reavaliações para cima,62,0,1,36,0,1,0,1,6,7,0,0
Total de adições ao estoque,76,41,23,42,0,1,0,3,67,8,0,0
Mudanças efetivas,0,0,7,34,0,9,0,75,22,0,0,0
Reavaliações para baixo,40,2,1,44,0,3,0,1,15,5,3,0
Total de reduções do estoque,40,2,8,78,0,12,0,76,37,5,3,0
Saldo mudanças efetivas,14,41,15,-28,0,-9,0,-73,39,1,0,0
Saldo reavaliações,22,-2,0,-8,0,-2,0,0,-9,2,-3,0
Estoque (2020),993,2868,4477,15550,1,4478,0,49809,19002,856,20,0
