PIAUÍ – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),439,3349,838,14332,61,50871,0,159205,21904,368,8,381
Mudanças efetivas,73,3636,164,582,68,6,0,109,960,0,0,10
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,73,3636,164,582,68,6,0,109,960,0,0,10
Mudanças efetivas,0,6,19,252,0,684,0,4428,219,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,6,19,252,0,684,0,4428,219,0,0,0
Saldo mudanças efetivas,73,3630,145,330,68,-678,0,-4319,741,0,0,10
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),512,6979,983,14662,129,50193,0,154886,22645,368,8,391
Mudanças efetivas,42,2430,125,451,140,22,0,135,617,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,42,2430,125,451,140,22,0,135,617,0,0,0
Mudanças efetivas,0,8,2,333,0,547,0,2638,434,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,8,2,333,0,547,0,2638,434,0,0,0
Saldo mudanças efetivas,42,2422,123,118,140,-525,0,-2503,183,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),554,9401,1106,14780,269,49668,0,152383,22828,368,8,391
Mudanças efetivas,36,1781,168,228,59,19,0,201,609,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,36,1781,168,228,59,19,0,201,609,0,0,0
Mudanças efetivas,0,244,13,156,0,352,0,2039,297,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,244,13,156,0,352,0,2039,297,0,0,0
Saldo mudanças efetivas,36,1537,155,72,59,-333,0,-1838,312,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),590,10938,1261,14852,328,49335,0,150545,23140,368,8,391
Mudanças efetivas,26,968,70,84,35,6,0,38,175,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,26,968,70,84,35,6,0,38,175,0,0,0
Mudanças efetivas,0,3,7,106,5,142,0,1021,118,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,3,7,106,5,142,0,1021,118,0,0,0
Saldo mudanças efetivas,26,965,63,-22,30,-136,0,-983,57,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),616,11903,1324,14830,358,49199,0,149562,23197,368,8,391
Mudanças efetivas,11,466,209,159,36,684,0,223,614,0,0,4
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,11,466,209,159,36,684,0,223,614,0,0,4
Mudanças efetivas,0,206,79,753,7,158,0,942,261,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,206,79,753,7,158,0,942,261,0,0,0
Saldo mudanças efetivas,11,260,130,-594,29,526,0,-719,353,0,0,4
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),627,12163,1454,14236,387,49725,0,148843,23550,368,8,395
Mudanças efetivas,42,709,116,98,1,121,0,98,405,2,0,0
Reavaliações para cima,100,0,0,86,0,5,1,8,78,9,0,0
Total de adições ao estoque,142,709,116,184,1,126,1,106,483,11,0,0
Mudanças efetivas,0,45,29,153,54,104,0,923,284,0,0,0
Reavaliações para baixo,173,3,0,8,0,5,0,12,78,5,0,3
Total de reduções do estoque,173,48,29,161,54,109,0,935,362,5,0,3
Saldo mudanças efetivas,42,664,87,-55,-53,17,0,-825,121,2,0,0
Saldo reavaliações,-73,-3,0,78,0,0,1,-4,0,4,0,-3
Estoque (2020),596,12824,1541,14259,334,49742,1,148014,23671,374,8,392
