PARANÁ – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),2230,66176,19426,72203,7383,23389,0,3327,2609,2525,13,0
Mudanças efetivas,9,3883,107,283,1607,6,0,1,59,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,9,3883,107,283,1607,6,0,1,59,0,0,0
Mudanças efetivas,0,81,580,4304,247,228,0,383,132,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,81,580,4304,247,228,0,383,132,0,0,0
Saldo mudanças efetivas,9,3802,-473,-4021,1360,-222,0,-382,-73,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),2239,69978,18953,68182,8743,23167,0,2945,2536,2525,13,0
Mudanças efetivas,7,644,124,115,537,1,0,0,29,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,7,644,124,115,537,1,0,0,29,0,0,0
Mudanças efetivas,0,66,96,1086,38,80,0,82,9,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,66,96,1086,38,80,0,82,9,0,0,0
Saldo mudanças efetivas,7,578,28,-971,499,-79,0,-82,20,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),2246,70556,18981,67211,9242,23088,0,2863,2556,2525,13,0
Mudanças efetivas,4,462,22,177,69,1,0,0,4,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,4,462,22,177,69,1,0,0,4,0,0,0
Mudanças efetivas,0,55,146,369,152,7,0,8,2,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,55,146,369,152,7,0,8,2,0,0,0
Saldo mudanças efetivas,4,407,-124,-192,-83,-6,0,-8,2,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),2250,70963,18857,67019,9159,23082,0,2855,2558,2525,13,0
Mudanças efetivas,1,244,80,80,8,7,0,2,83,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,1,244,80,80,8,7,0,2,83,0,0,0
Mudanças efetivas,0,28,88,238,12,38,0,88,13,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,28,88,238,12,38,0,88,13,0,0,0
Saldo mudanças efetivas,1,216,-8,-158,-4,-31,0,-86,70,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),2251,71179,18849,66861,9155,23051,0,2769,2628,2525,13,0
Mudanças efetivas,21,438,72,25,61,1,0,0,1,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,21,438,72,25,61,1,0,0,1,0,0,0
Mudanças efetivas,0,40,182,350,8,13,0,5,21,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,40,182,350,8,13,0,5,21,0,0,0
Saldo mudanças efetivas,21,398,-110,-325,53,-12,0,-5,-20,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),2272,71577,18739,66536,9208,23039,0,2764,2608,2525,13,0
Mudanças efetivas,82,636,62,11,124,1,0,8,0,0,0,0
Reavaliações para cima,427,56,8,71,1,28,0,4,18,2,2,0
Total de adições ao estoque,509,692,70,82,125,29,0,12,18,2,2,0
Mudanças efetivas,0,94,385,342,74,9,0,3,17,0,0,0
Reavaliações para baixo,165,23,3,357,0,10,0,8,50,1,0,0
Total de reduções do estoque,165,117,388,699,74,19,0,11,67,1,0,0
Saldo mudanças efetivas,82,542,-323,-331,50,-8,0,5,-17,0,0,0
Saldo reavaliações,262,33,5,-286,1,18,0,-4,-32,1,2,0
Estoque (2020),2616,72152,18421,65919,9259,23049,0,2765,2559,2526,15,0
