RIO DE JANEIRO – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),2358,629,6028,22025,39,8703,0,1314,2043,560,13,0
Mudanças efetivas,25,13,199,568,3,9,0,1,12,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,25,13,199,568,3,9,0,1,12,0,0,0
Mudanças efetivas,0,69,4,151,0,571,0,22,13,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,69,4,151,0,571,0,22,13,0,0,0
Saldo mudanças efetivas,25,-56,195,417,3,-562,0,-21,-1,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),2383,573,6223,22442,42,8141,0,1293,2042,560,13,0
Mudanças efetivas,16,12,6,162,23,0,0,0,5,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,16,12,6,162,23,0,0,0,5,0,0,0
Mudanças efetivas,0,6,0,36,1,162,0,19,0,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,6,0,36,1,162,0,19,0,0,0,0
Saldo mudanças efetivas,16,6,6,126,22,-162,0,-19,5,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),2399,579,6229,22568,64,7979,0,1274,2047,560,13,0
Mudanças efetivas,7,0,1,8,1,0,0,0,0,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,7,0,1,8,1,0,0,0,0,0,0,0
Mudanças efetivas,0,13,1,2,0,0,0,0,1,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,13,1,2,0,0,0,0,1,0,0,0
Saldo mudanças efetivas,7,-13,0,6,1,0,0,0,-1,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),2406,566,6229,22574,65,7979,0,1274,2046,560,13,0
Mudanças efetivas,0,0,10,16,0,0,0,0,9,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,0,0,10,16,0,0,0,0,9,0,0,0
Mudanças efetivas,0,12,10,8,0,3,0,1,1,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,12,10,8,0,3,0,1,1,0,0,0
Saldo mudanças efetivas,0,-12,0,8,0,-3,0,-1,8,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),2406,554,6229,22582,65,7976,0,1273,2054,560,13,0
Mudanças efetivas,23,52,37,1,0,1,0,0,0,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,23,52,37,1,0,1,0,0,0,0,0,0
Mudanças efetivas,0,0,2,86,0,4,0,0,22,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,2,86,0,4,0,0,22,0,0,0
Saldo mudanças efetivas,23,52,35,-85,0,-3,0,0,-22,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),2429,606,6264,22497,65,7973,0,1273,2032,560,13,0
Mudanças efetivas,26,11,17,2,1,0,0,0,0,0,0,0
Reavaliações para cima,297,0,36,130,0,60,0,34,77,0,0,0
Total de adições ao estoque,323,11,53,132,1,60,0,34,77,0,0,0
Mudanças efetivas,0,14,7,25,0,0,0,1,10,0,0,0
Reavaliações para baixo,333,0,0,240,0,7,0,6,44,0,4,0
Total de reduções do estoque,333,14,7,265,0,7,0,7,54,0,4,0
Saldo mudanças efetivas,26,-3,10,-23,1,0,0,-1,-10,0,0,0
Saldo reavaliações,-36,0,36,-110,0,53,0,28,33,0,-4,0
Estoque (2020),2419,603,6310,22364,66,8026,0,1300,2055,560,9,0
