RIO GRANDE DO NORTE – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),995,2194,1966,1287,0,1848,0,33266,10488,437,6,301
Mudanças efetivas,67,291,164,25,0,1,0,54,1201,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,67,291,164,25,0,1,0,54,1201,0,0,0
Mudanças efetivas,0,0,1,95,0,33,0,1519,155,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,1,95,0,33,0,1519,155,0,0,0
Saldo mudanças efetivas,67,291,163,-70,0,-32,0,-1465,1046,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),1062,2485,2129,1217,0,1816,0,31801,11534,437,6,301
Mudanças efetivas,20,117,12,76,0,0,0,9,826,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,20,117,12,76,0,0,0,9,826,0,0,0
Mudanças efetivas,0,0,0,9,0,76,0,923,52,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,0,9,0,76,0,923,52,0,0,0
Saldo mudanças efetivas,20,117,12,67,0,-76,0,-914,774,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),1082,2602,2141,1284,0,1740,0,30887,12308,437,6,301
Mudanças efetivas,15,56,77,0,0,1,0,21,77,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,15,56,77,0,0,1,0,21,77,0,0,0
Mudanças efetivas,0,0,0,11,0,1,0,135,100,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,0,11,0,1,0,135,100,0,0,0
Saldo mudanças efetivas,15,56,77,-11,0,0,0,-114,-23,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),1097,2658,2218,1273,0,1740,0,30773,12285,437,6,301
Mudanças efetivas,22,13,4,4,0,0,0,29,68,0,0,4
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,22,13,4,4,0,0,0,29,68,0,0,4
Mudanças efetivas,0,2,23,3,0,6,0,58,52,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,2,23,3,0,6,0,58,52,0,0,0
Saldo mudanças efetivas,22,11,-19,1,0,-6,0,-29,16,0,0,4
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),1119,2669,2199,1274,0,1734,0,30744,12301,437,6,305
Mudanças efetivas,15,81,1,0,0,7,0,112,91,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,15,81,1,0,0,7,0,112,91,0,0,0
Mudanças efetivas,0,2,24,11,0,1,0,125,144,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,2,24,11,0,1,0,125,144,0,0,0
Saldo mudanças efetivas,15,79,-23,-11,0,6,0,-13,-53,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),1134,2748,2176,1263,0,1740,0,30731,12248,437,6,305
Mudanças efetivas,4,40,4,0,0,0,0,26,31,0,0,0
Reavaliações para cima,10,0,0,3,0,0,0,3,3,2,0,3
Total de adições ao estoque,14,40,4,3,0,0,0,29,34,2,0,3
Mudanças efetivas,0,3,6,1,0,0,0,47,48,0,0,0
Reavaliações para baixo,6,1,0,3,0,0,0,0,6,6,1,1
Total de reduções do estoque,6,4,6,4,0,0,0,47,54,6,1,1
Saldo mudanças efetivas,4,37,-2,-1,0,0,0,-21,-17,0,0,0
Saldo reavaliações,4,-1,0,0,0,0,0,3,-3,-4,-1,2
Estoque (2020),1142,2784,2174,1262,0,1740,0,30713,12228,433,5,307
