RONDÔNIA – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),450,1337,37714,16169,0,166770,211,13867,69,1168,0,0
Mudanças efetivas,73,516,25231,9654,0,83,1,3,146,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,73,516,25231,9654,0,83,1,3,146,0,0,0
Mudanças efetivas,0,13,371,7938,0,26967,0,398,20,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,13,371,7938,0,26967,0,398,20,0,0,0
Saldo mudanças efetivas,73,503,24860,1716,0,-26884,1,-395,126,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),523,1840,62574,17885,0,139886,212,13472,195,1168,0,0
Mudanças efetivas,13,169,1957,665,2,6,19,2,9,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,13,169,1957,665,2,6,19,2,9,0,0,0
Mudanças efetivas,0,3,82,846,0,1874,0,31,6,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,3,82,846,0,1874,0,31,6,0,0,0
Saldo mudanças efetivas,13,166,1875,-181,2,-1868,19,-29,3,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),536,2006,64449,17704,2,138018,231,13443,198,1168,0,0
Mudanças efetivas,16,287,4031,2852,5,98,0,1,31,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,16,287,4031,2852,5,98,0,1,31,0,0,0
Mudanças efetivas,0,80,249,2417,0,4543,0,30,2,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,80,249,2417,0,4543,0,30,2,0,0,0
Saldo mudanças efetivas,16,207,3782,435,5,-4445,0,-29,29,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),552,2213,68231,18139,7,133573,231,13414,227,1168,0,0
Mudanças efetivas,27,1166,1401,2123,0,48,0,0,94,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,27,1166,1401,2123,0,48,0,0,94,0,0,0
Mudanças efetivas,0,15,473,1277,0,2964,0,130,0,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,15,473,1277,0,2964,0,130,0,0,0,0
Saldo mudanças efetivas,27,1151,928,846,0,-2916,0,-130,94,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),579,3364,69159,18985,7,130657,231,13284,321,1168,0,0
Mudanças efetivas,10,467,2397,1921,15,271,0,29,73,66,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,10,467,2397,1921,15,271,0,29,73,66,0,0
Mudanças efetivas,5,91,583,2377,0,2056,0,80,57,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,5,91,583,2377,0,2056,0,80,57,0,0,0
Saldo mudanças efetivas,5,376,1814,-456,15,-1785,0,-51,16,66,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),584,3740,70973,18529,22,128872,231,13233,337,1234,0,0
Mudanças efetivas,11,716,3280,1674,33,89,0,0,66,0,0,0
Reavaliações para cima,20,0,6,74,0,6,0,1,1,7,0,0
Total de adições ao estoque,31,716,3286,1748,33,95,0,1,67,7,0,0
Mudanças efetivas,0,66,638,2772,0,2201,0,162,30,0,0,0
Reavaliações para baixo,82,0,5,14,0,5,0,2,1,6,0,0
Total de reduções do estoque,82,66,643,2786,0,2206,0,164,31,6,0,0
Saldo mudanças efetivas,11,650,2642,-1098,33,-2112,0,-162,36,0,0,0
Saldo reavaliações,-62,0,1,60,0,1,0,-1,0,1,0,0
Estoque (2020),533,4390,73616,17491,55,126761,231,13070,373,1235,0,0
