SANTA CATARINA – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),1229,7182,1364,47746,4699,21385,0,8785,2261,646,411,24
Mudanças efetivas,46,1165,47,108,2000,19,0,7,322,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,46,1165,47,108,2000,19,0,7,322,0,0,0
Mudanças efetivas,0,32,104,2100,47,120,0,1021,290,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,32,104,2100,47,120,0,1021,290,0,0,0
Saldo mudanças efetivas,46,1133,-57,-1992,1953,-101,0,-1014,32,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),1275,8315,1307,45754,6652,21284,0,7771,2293,646,411,24
Mudanças efetivas,8,74,1,31,307,6,0,0,22,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,8,74,1,31,307,6,0,0,22,0,0,0
Mudanças efetivas,0,5,0,206,1,32,0,193,12,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,5,0,206,1,32,0,193,12,0,0,0
Saldo mudanças efetivas,8,69,1,-175,306,-26,0,-193,10,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),1283,8384,1308,45579,6958,21258,0,7578,2303,646,411,24
Mudanças efetivas,5,28,1,55,81,0,0,0,24,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,5,28,1,55,81,0,0,0,24,0,0,0
Mudanças efetivas,0,18,1,42,40,1,0,92,0,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,18,1,42,40,1,0,92,0,0,0,0
Saldo mudanças efetivas,5,10,0,13,41,-1,0,-92,24,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),1288,8394,1308,45592,6999,21257,0,7486,2327,646,411,24
Mudanças efetivas,7,26,25,27,7,8,0,4,112,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,7,26,25,27,7,8,0,4,112,0,0,0
Mudanças efetivas,0,9,0,47,2,24,0,126,8,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,9,0,47,2,24,0,126,8,0,0,0
Saldo mudanças efetivas,7,17,25,-20,5,-16,0,-122,104,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),1295,8411,1333,45572,7004,21241,0,7364,2431,646,411,24
Mudanças efetivas,13,303,2,25,129,1,0,11,7,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,13,303,2,25,129,1,0,11,7,0,0,0
Mudanças efetivas,0,8,34,202,27,16,0,113,91,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,8,34,202,27,16,0,113,91,0,0,0
Saldo mudanças efetivas,13,295,-32,-177,102,-15,0,-102,-84,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),1308,8706,1301,45395,7106,21226,0,7262,2347,646,411,24
Mudanças efetivas,54,95,0,5,47,0,0,0,8,0,0,0
Reavaliações para cima,482,95,2,102,0,38,0,3,6,405,0,0
Total de adições ao estoque,536,190,2,107,47,38,0,3,14,405,0,0
Mudanças efetivas,0,3,6,106,31,4,0,43,16,0,0,0
Reavaliações para baixo,149,3,1,511,1,5,0,5,51,4,403,0
Total de reduções do estoque,149,6,7,617,32,9,0,48,67,4,403,0
Saldo mudanças efetivas,54,92,-6,-101,16,-4,0,-43,-8,0,0,0
Saldo reavaliações,333,92,1,-409,-1,33,0,-2,-45,401,-403,0
Estoque (2020),1695,8890,1296,44885,7121,21255,0,7217,2294,1047,8,24
