SERGIPE – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),166,831,3139,7467,0,1266,1,3526,5360,161,14,14
Mudanças efetivas,0,113,503,7,0,0,0,7,354,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,0,113,503,7,0,0,0,7,354,0,0,0
Mudanças efetivas,0,0,28,528,0,8,0,377,43,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,28,528,0,8,0,377,43,0,0,0
Saldo mudanças efetivas,0,113,475,-521,0,-8,0,-370,311,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),166,944,3614,6946,0,1258,1,3156,5671,161,14,14
Mudanças efetivas,0,508,0,6,5,0,0,3,363,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,0,508,0,6,5,0,0,3,363,0,0,0
Mudanças efetivas,0,0,52,22,0,6,0,738,67,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,52,22,0,6,0,738,67,0,0,0
Saldo mudanças efetivas,0,508,-52,-16,5,-6,0,-735,296,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),166,1452,3562,6930,5,1252,1,2421,5967,161,14,14
Mudanças efetivas,1,10,1,2,0,0,0,0,341,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,1,10,1,2,0,0,0,0,341,0,0,0
Mudanças efetivas,0,0,0,1,0,3,0,347,4,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,0,1,0,3,0,347,4,0,0,0
Saldo mudanças efetivas,1,10,1,1,0,-3,0,-347,337,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),167,1462,3563,6931,5,1249,1,2074,6304,161,14,14
Mudanças efetivas,1,9,18,14,1,0,0,76,83,0,0,41
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,1,9,18,14,1,0,0,76,83,0,0,41
Mudanças efetivas,0,48,10,20,0,7,0,65,93,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,48,10,20,0,7,0,65,93,0,0,0
Saldo mudanças efetivas,1,-39,8,-6,1,-7,0,11,-10,0,0,41
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),168,1423,3571,6925,6,1242,1,2085,6294,161,14,55
Mudanças efetivas,2,22,12,0,0,1,0,9,10,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,2,22,12,0,0,1,0,9,10,0,0,0
Mudanças efetivas,0,4,0,17,0,1,0,14,20,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,4,0,17,0,1,0,14,20,0,0,0
Saldo mudanças efetivas,2,18,12,-17,0,0,0,-5,-10,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),170,1441,3583,6908,6,1242,1,2080,6284,161,14,55
Mudanças efetivas,4,15,0,0,1,0,0,0,2,3,0,0
Reavaliações para cima,88,0,1,18,0,7,0,11,9,9,1,1
Total de adições ao estoque,92,15,1,18,1,7,0,11,11,12,1,1
Mudanças efetivas,0,0,4,6,0,0,0,2,13,0,0,0
Reavaliações para baixo,27,3,4,67,0,5,0,4,15,20,0,0
Total de reduções do estoque,27,3,8,73,0,5,0,6,28,20,0,0
Saldo mudanças efetivas,4,15,-4,-6,1,0,0,-2,-11,3,0,0
Saldo reavaliações,61,-3,-3,-49,0,2,0,7,-6,-11,1,1
Estoque (2020),235,1453,3576,6853,7,1244,1,2085,6267,153,15,56
