Estado,perfil_conservador_Fuzzy_Score,perfil_produtivista_Fuzzy_Score,Cluster
AC,0.2110414963428833,0.20343745386046816,1
AL,0.204122090432175,0.20470078780185855,1
AM,0.3312427093838268,0.2589336844657251,2
AP,0.2092757515245856,0.20355699334840072,1
BA,0.25506702445802826,0.2446129625503617,0
CE,0.21149272777912748,0.20538974102561736,1
DF,0.1996797423801433,0.2001702764011825,1
ES,0.2042756079357238,0.20315143457254423,1
GO,0.19634336910387182,0.22126855150044622,1
MA,0.21225975000208724,0.20671784159345571,1
MG,0.24478188503105258,0.2458758861532475,0
MS,0.21467612634472352,0.22874140274095095,1
MT,0.2555791860765786,0.2803267494457919,0
PA,0.27739194869090555,0.22895049353386138,0
PB,0.20804696421678912,0.20585969958197106,1
PE,0.2125238986889865,0.20909433993163842,1
PI,0.21539218505185875,0.21172717936902824,1
PR,0.22093793948047566,0.2459204006590017,0
RJ,0.20232627070428827,0.20044911897864284,1
RN,0.2022645363877207,0.20087925544307625,1
RO,0.20839765936051508,0.20164675736392818,1
RR,0.2279435887243789,0.219263286483613,1
RS,0.2163820744148271,0.25102606001090244,0
SC,0.2102404053608853,0.20964445377275287,1
SE,0.2042591099953777,0.20315543873246625,1
SP,0.21686279180969206,0.252742641035741,0
TO,0.19957160639160407,0.20206798249732275,1
