Estado,perfil_especulativo_Fuzzy_Score,perfil_exportador_Fuzzy_Score,Cluster
AC,0.5012845910399785,0.15216028682618893,1
AL,0.5020385424682745,0.1548026709636737,1
AM,0.5453768489193382,0.21350878685147032,2
AP,0.5030685705623412,0.152639614686823,1
BA,0.5208660030297743,0.19583368200802556,0
CE,0.5013563934202094,0.15516109472240083,1
DF,0.4981278497306794,0.15017309347934438,1
ES,0.49943190824143585,0.15353770793468385,1
GO,0.46704477672146044,0.17772335304043202,0
MA,0.4851788180168596,0.1684487424866742,1
MG,0.49875813731716906,0.2002446212123273,0
MS,0.476054907955938,0.20306531777534031,0
MT,0.4945837950217351,0.259279029655288,0
PA,0.49309884122354514,0.1820978030361329,0
PB,0.504101567336512,0.15585048484946926,1
PE,0.5051686020122312,0.15922461077119543,1
PI,0.5068142706586044,0.1611589633526401,1
PR,0.5112994727948615,0.19646280432344096,0
RJ,0.4931305812300643,0.15061759789908086,1
RN,0.4969819155873681,0.15094639888880093,1
RO,0.4879310548894588,0.15341934859100645,1
RR,0.5117245564240628,0.18117137816089482,0
RS,0.5118843830802853,0.20083553746099803,0
SC,0.5031605938393976,0.15943363950016828,1
SE,0.5018786050031622,0.15329251092869425,1
SP,0.49211123797801287,0.2040450439362101,0
TO,0.48778483153205116,0.1541802388965387,1
