Estado,perfil_produtivista_Fuzzy_Score,perfil_especulativo_Fuzzy_Score,Cluster
AC,0.20343745386046816,0.5012845910399785,1
AL,0.20470078780185855,0.5020385424682745,1
AM,0.2589336844657251,0.5453768489193382,2
AP,0.20355699334840072,0.5030685705623412,1
BA,0.2446129625503617,0.5208660030297743,0
CE,0.20538974102561736,0.5013563934202094,1
DF,0.2001702764011825,0.4981278497306794,1
ES,0.20315143457254423,0.49943190824143585,1
GO,0.22126855150044622,0.46704477672146044,1
MA,0.20671784159345571,0.4851788180168596,1
MG,0.2458758861532475,0.49875813731716906,0
MS,0.22874140274095095,0.476054907955938,0
MT,0.2803267494457919,0.4945837950217351,0
PA,0.22895049353386138,0.49309884122354514,0
PB,0.20585969958197106,0.504101567336512,1
PE,0.20909433993163842,0.5051686020122312,1
PI,0.21172717936902824,0.5068142706586044,1
PR,0.2459204006590017,0.5112994727948615,0
RJ,0.20044911897864284,0.4931305812300643,1
RN,0.20087925544307625,0.4969819155873681,1
RO,0.20164675736392818,0.4879310548894588,1
RR,0.219263286483613,0.5117245564240628,1
RS,0.25102606001090244,0.5118843830802853,0
SC,0.20964445377275287,0.5031605938393976,1
SE,0.20315543873246625,0.5018786050031622,1
SP,0.252742641035741,0.49211123797801287,0
TO,0.20206798249732275,0.48778483153205116,1
