Estado,perfil_produtivista_Fuzzy_Score,perfil_exportador_Fuzzy_Score,Cluster
AC,0.20343745386046816,0.15216028682618893,1
AL,0.20470078780185855,0.1548026709636737,1
AM,0.2589336844657251,0.21350878685147032,0
AP,0.20355699334840072,0.152639614686823,1
BA,0.2446129625503617,0.19583368200802556,0
CE,0.20538974102561736,0.15516109472240083,1
DF,0.2001702764011825,0.15017309347934438,1
ES,0.20315143457254423,0.15353770793468385,1
GO,0.22126855150044622,0.17772335304043202,2
MA,0.20671784159345571,0.1684487424866742,1
MG,0.2458758861532475,0.2002446212123273,0
MS,0.22874140274095095,0.20306531777534031,0
MT,0.2803267494457919,0.259279029655288,0
PA,0.22895049353386138,0.1820978030361329,2
PB,0.20585969958197106,0.15585048484946926,1
PE,0.20909433993163842,0.15922461077119543,1
PI,0.21172717936902824,0.1611589633526401,1
PR,0.2459204006590017,0.19646280432344096,0
RJ,0.20044911897864284,0.15061759789908086,1
RN,0.20087925544307625,0.15094639888880093,1
RO,0.20164675736392818,0.15341934859100645,1
RR,0.219263286483613,0.18117137816089482,2
RS,0.25102606001090244,0.20083553746099803,0
SC,0.20964445377275287,0.15943363950016828,1
SE,0.20315543873246625,0.15329251092869425,1
SP,0.252742641035741,0.2040450439362101,0
TO,0.20206798249732275,0.1541802388965387,1
