Estado,2000-2010,2012-2020
AC,0.2112912882031425,0.2109415795987796
AL,0.2039927065021881,0.20417384400416977
AM,0.3313413214046759,0.33120326457548716
AP,0.2091884551564526,0.2093106700718388
BA,0.2527324828283587,0.25600084110989607
CE,0.21062166663861595,0.21184115223533206
DF,0.19966229232964924,0.19968672240034094
ES,0.20425760559449174,0.20428280887221661
GO,0.19698293526548366,0.19608754263922706
MA,0.2145787314840632,0.21133215740929684
MG,0.24447158982026135,0.2449060031153691
MS,0.21371774796265836,0.21505947769754957
MT,0.2564534860969355,0.2552294660684359
PA,0.28170691577198737,0.2756659618584728
PB,0.20719361907020015,0.2083883022754247
PE,0.21095579243229745,0.2131511411916621
PI,0.21455441985669904,0.21572729112992267
PR,0.22111471285514414,0.22086723013060833
RJ,0.2023601995256849,0.20231269917572958
RN,0.2018118595969493,0.2024456071040293
RO,0.21041044710274825,0.2075925442636218
RR,0.2276970841057941,0.22804219057181285
RS,0.21553873710897548,0.21671940933716777
SC,0.21041727782199904,0.21016965637643983
SE,0.20420300821822374,0.2042815507062393
SP,0.216973320599666,0.21681858029370246
TO,0.19975871426938618,0.1994967632404912
