Estado,2000-2010,2012-2020
AC,0.5018888532987646,0.501042886136464
AL,0.5019873753456667,0.5020590093173176
AM,0.5457759123214853,0.5452172235584793
AP,0.5029732506525384,0.5031066985262622
BA,0.519282678399716,0.5214993328817976
CE,0.5008646774086145,0.5015530798248474
DF,0.49811474953909674,0.4981330898073125
ES,0.4993226474054922,0.49947561257581335
GO,0.4679180966950459,0.4666954487320262
MA,0.48903342299384245,0.4836369760260665
MG,0.49844586625708986,0.4988830457412007
MS,0.4734895413539896,0.47708105459671746
MT,0.4954434820861767,0.4942399201959584
PA,0.5020915537043034,0.4895017562312418
PB,0.5035815084674056,0.5043095908841545
PE,0.5042707338509289,0.5055277492767521
PI,0.5060414629428677,0.5071233937448991
PR,0.5112762238245696,0.5113087723829783
RJ,0.49325592925326156,0.49308044202078544
RN,0.49686491046460857,0.497028717636472
RO,0.4917323051856848,0.4864105547709684
RR,0.5115755115461044,0.511784174375246
RS,0.5109078374196082,0.5122750013445561
SC,0.5034689523159602,0.5030372504487726
SE,0.5019331888173683,0.5018567714774799
SP,0.4905017704753042,0.4927550249790963
TO,0.48885921537109267,0.4873550779964345
