Estado,2000-2010,2012-2020
AC,0.15217726691371375,0.15215349479117898
AL,0.15467247345653065,0.15485474996653095
AM,0.21364751404880444,0.21345329597253668
AP,0.15251563152884862,0.15268920795001276
BA,0.19060583850424462,0.19792481940953796
CE,0.15432443520844955,0.15549575852798134
DF,0.15010592720899155,0.1501999599874855
ES,0.15326076618175644,0.15364848463585482
GO,0.1735839090562457,0.17937913063410654
MA,0.1679535993986746,0.16864679972187405
MG,0.19607677497470966,0.20191175970737438
MS,0.1983928587561321,0.2049343013830236
MT,0.24733459738182773,0.26405680256467207
PA,0.18105842089588886,0.18251355589223053
PB,0.1552500211706164,0.1560906703210104
PE,0.1581041578867363,0.15967279192497905
PI,0.15845461506643455,0.16224070266712232
PR,0.1954992817258361,0.1968482133624829
RJ,0.15064691251481716,0.15060587205278633
RN,0.15055461925549435,0.15110311074212357
RO,0.15341295785059916,0.1534219048871694
RR,0.180811233060299,0.18131543620113316
RS,0.19727057279227755,0.20226152332848626
SC,0.15930804733792264,0.1594838763650665
SE,0.1531430258821754,0.15335230494730184
SP,0.19918838306505893,0.20598770828467056
TO,0.1517402394596677,0.15515623867128708
