Estado,2000-2010,2012-2020
AC,0.20359528599162524,0.20337432100800532
AL,0.2045726847754552,0.2047520290124199
AM,0.25898926192031385,0.2589114534838896
AP,0.20343492555107312,0.2036058204673318
BA,0.2396431143175719,0.2466009018434776
CE,0.20456723519947534,0.20571874335607418
DF,0.2001036173066006,0.20019694003901525
ES,0.20287661108441551,0.20326136396779568
GO,0.2174897071510658,0.22278008924019838
MA,0.20681566824986158,0.20667871093089335
MG,0.24187690383585,0.2474754790802065
MS,0.22384270157991643,0.2307008832053648
MT,0.2695087027741865,0.2846539681144341
PA,0.229968138920852,0.22854343537906513
PB,0.20526176995402673,0.20609887143314878
PE,0.2079831436635482,0.2095388184388745
PI,0.20904553940681975,0.21279983535391164
PR,0.24494553630598445,0.2463103464002086
RJ,0.2004862801744967,0.20043425450030128
RN,0.2004925303728167,0.2010339454711801
RO,0.20247765654731198,0.20131439769057463
RR,0.21895799188388065,0.21938540432350595
RS,0.2474637986574889,0.25245096455226784
SC,0.20951880197499465,0.20969471449185617
SE,0.20301223296094484,0.2032127210410748
SP,0.2477928114066118,0.25472257288739264
TO,0.1999512696923207,0.20291466761932356
