Estado,Ano_conservador,perfil_conservador_Fuzzy_Score,Ano_produtivista,perfil_produtivista_Fuzzy_Score,Ano_especulativo,perfil_especulativo_Fuzzy_Score,Ano_exportador,perfil_exportador_Fuzzy_Score
AM,2010,0.3313603329626196,2012,0.2590647291700103,2000,0.5460841311259879,2012,0.2138997717089761
PA,2000,0.2867305250280323,2000,0.232916334041498,2000,0.5119884839654246,2020,0.1842141983674048
MT,2000,0.2589774122513563,2020,0.2913980674365376,2000,0.5000067441536864,2020,0.2707816294641991
BA,2016,0.2564789584976557,2020,0.2473109356216174,2016,0.5219343891652458,2020,0.1987033666027169
MG,2020,0.2455054352805682,2020,0.2500901150378821,2020,0.5002923658355991,2020,0.2045019502225904
RR,2020,0.2281293172200902,2020,0.2196074735001605,2020,0.5118707078335054,2020,0.1815602736201537
PR,2000,0.2212107320522625,2018,0.2465436114756395,2016,0.511598901695259,2018,0.1970804179758085
SP,2020,0.2172921993791249,2020,0.2564854445500152,2020,0.49428143987263,2020,0.2077044950273811
RS,2016,0.2170541318621784,2020,0.2536861961987459,2018,0.5128695791174213,2020,0.2034973275487537
MA,2000,0.2164192798623931,2020,0.2079970962024582,2000,0.4921036785343837,2020,0.170030434462276
PI,2020,0.2161022059776217,2020,0.2137065364638124,2020,0.5074943322822352,2020,0.1631561886694831
MS,2020,0.2160147535110917,2020,0.2343931015611228,2020,0.4798775824222615,2020,0.2079646125201112
PE,2018,0.2132370948939791,2018,0.2095786679176477,2014,0.5056116925999327,2018,0.1597145101988324
RO,2000,0.2123267998805151,2000,0.2036821999823941,2000,0.4953203870241268,2000,0.1539006495895425
CE,2020,0.2121966783911981,2020,0.206088611890168,2020,0.5022579543518493,2020,0.1558663263224963
AC,2000,0.2115648346409677,2000,0.2037826731975131,2000,0.5024901432456765,2000,0.1522353922540359
SC,2000,0.210533812871449,2018,0.20986902204223,2000,0.5035412366465575,2018,0.1596580866301187
AP,2020,0.2093888529041051,2020,0.2037249406725772,2020,0.5033039951041178,2020,0.1528046157124939
PB,2020,0.2085164015298987,2020,0.2062065304867228,2020,0.5044730144345483,2020,0.1561984064544546
SE,2014,0.2046858334008673,2014,0.2036064915066212,2014,0.502283395220663,2014,0.15374568246876
ES,2020,0.2044123403986109,2020,0.2033825366575855,2020,0.4998419213631574,2020,0.1537663731146895
AL,2016,0.2042414121817392,2016,0.2048159238527072,2016,0.5021279506843478,2016,0.1549186287666432
RN,2012,0.2025388808972893,2012,0.2010804078181894,2012,0.4972009523463749,2012,0.1511477650589396
RJ,2000,0.2023733698054012,2000,0.2005099770688301,2000,0.4933194134303539,2000,0.1506628249924896
TO,2000,0.2003374739194695,2020,0.2047445490273746,2000,0.4905960799103632,2020,0.1570680860794555
DF,2020,0.1999519565229818,2020,0.2004425026891689,2020,0.4987530863359336,2020,0.1504456385404288
GO,2000,0.198404932613606,2020,0.2254840584266101,2000,0.4703429627668867,2020,0.1820025919101426
