Estado,Ano,perfil_conservador_Fuzzy_Score
AM,2010,0.3313603329626196
PA,2000,0.2867305250280323
MT,2000,0.2589774122513563
BA,2016,0.2564789584976557
MG,2020,0.2455054352805682
RR,2020,0.2281293172200902
PR,2000,0.2212107320522625
SP,2020,0.2172921993791249
RS,2016,0.2170541318621784
MA,2000,0.2164192798623931
PI,2020,0.2161022059776217
MS,2020,0.2160147535110917
PE,2018,0.2132370948939791
RO,2000,0.2123267998805151
CE,2020,0.2121966783911981
AC,2000,0.2115648346409677
SC,2000,0.210533812871449
AP,2020,0.2093888529041051
PB,2020,0.2085164015298987
SE,2014,0.2046858334008673
ES,2020,0.2044123403986109
AL,2016,0.2042414121817392
RN,2012,0.2025388808972893
RJ,2000,0.2023733698054012
TO,2000,0.2003374739194695
DF,2020,0.1999519565229818
GO,2000,0.198404932613606
