Estado,Ano,perfil_exportador_Fuzzy_Score
MT,2020,0.2707816294641991
AM,2012,0.2138997717089761
MS,2020,0.2079646125201112
SP,2020,0.2077044950273811
MG,2020,0.2045019502225904
RS,2020,0.2034973275487537
BA,2020,0.1987033666027169
PR,2018,0.1970804179758085
PA,2020,0.1842141983674048
GO,2020,0.1820025919101426
RR,2020,0.1815602736201537
MA,2020,0.170030434462276
PI,2020,0.1631561886694831
PE,2018,0.1597145101988324
SC,2018,0.1596580866301187
TO,2020,0.1570680860794555
PB,2020,0.1561984064544546
CE,2020,0.1558663263224963
AL,2016,0.1549186287666432
RO,2000,0.1539006495895425
ES,2020,0.1537663731146895
SE,2014,0.15374568246876
AP,2020,0.1528046157124939
AC,2000,0.1522353922540359
RN,2012,0.1511477650589396
RJ,2000,0.1506628249924896
DF,2020,0.1504456385404288
