Estado,Ano,perfil_produtivista_Fuzzy_Score
MT,2020,0.2913980674365376
AM,2012,0.2590647291700103
SP,2020,0.2564854445500152
RS,2020,0.2536861961987459
MG,2020,0.2500901150378821
BA,2020,0.2473109356216174
PR,2018,0.2465436114756395
MS,2020,0.2343931015611228
PA,2000,0.232916334041498
GO,2020,0.2254840584266101
RR,2020,0.2196074735001605
PI,2020,0.2137065364638124
SC,2018,0.20986902204223
PE,2018,0.2095786679176477
MA,2020,0.2079970962024582
PB,2020,0.2062065304867228
CE,2020,0.206088611890168
AL,2016,0.2048159238527072
TO,2020,0.2047445490273746
AC,2000,0.2037826731975131
AP,2020,0.2037249406725772
RO,2000,0.2036821999823941
SE,2014,0.2036064915066212
ES,2020,0.2033825366575855
RN,2012,0.2010804078181894
RJ,2000,0.2005099770688301
DF,2020,0.2004425026891689
