Estado,Ano,fuzzy_score_base,sensitivity_range,sensitivity_std,avg_score_mod
AC,2012.857142857143,0.23110313423991777,0.013196445994783682,0.00466594146197097,0.23126802791782636
AL,2012.857142857143,0.22066017440219898,0.0220557314326702,0.007798368727949252,0.22093576759420946
AM,2012.857142857143,0.5966282680339285,0.03947163913536939,0.013956208943413704,0.5961350576837569
AP,2012.857142857143,0.22724877729617107,0.01495613558893573,0.005288124786238609,0.22743565884030303
BA,2012.857142857143,0.4477499887190774,0.03771032975992217,0.01333345290398415,0.4482211909633572
CE,2012.857142857143,0.26028720109695636,0.02463972767895009,0.008712006780790186,0.2605950821219879
DF,2012.857142857143,0.19822963099912788,0.019872555797128925,0.007026451067644089,0.19847794473572994
ES,2012.857142857143,0.22088356569994924,0.021904506046626835,0.00774489911960764,0.2211572692839465
GO,2012.857142857143,0.17088580226658148,0.015535975224638796,0.005493141939992774,0.17107992908646158
MA,2012.857142857143,0.27032077128266085,0.022369275554416337,0.007909230282521662,0.2706002823055359
MG,2012.857142857143,0.4051115184469162,0.0369503618538719,0.01306474678689711,0.40557322465694773
MS,2012.857142857143,0.23761047231452073,0.020703293662390636,0.007320179716333751,0.2378691663779195
MT,2012.857142857143,0.3843678928688771,0.012953656961846678,0.004580097181189584,0.38452975282265933
PA,2012.857142857143,0.4243200637793216,0.020623599452191294,0.007292001787231083,0.42406236551975013
PB,2012.857142857143,0.23522109721482917,0.023280708983161064,0.008231490914413567,0.2355119968805475
PE,2012.857142857143,0.2563341403118176,0.025385696492171008,0.008975763160069924,0.2566513424480988
PI,2012.857142857143,0.2730340014147602,0.02393043106726117,0.00846121679759145,0.27333301955905276
PR,2012.857142857143,0.3070711108631629,0.029188815569713113,0.010320453313443853,0.3074358341496438
RJ,2012.857142857143,0.2099410576013681,0.020489672828520922,0.007244648599373357,0.21019708240631743
RN,2012.857142857143,0.21530013067888767,0.021465756149005623,0.007589767856269353,0.215568351947091
RO,2012.857142857143,0.21501430036839655,0.01203014816906103,0.004253566995073065,0.21516462079392368
RR,2012.857142857143,0.2968361606887943,0.01796222973426665,0.006351006361841013,0.2970606043098642
RS,2012.857142857143,0.30535200363947795,0.029385380515845366,0.01038995388446814,0.305719183065811
SC,2012.857142857143,0.25026148482461635,0.02362164205586156,0.008352036534067468,0.2505566445546202
SE,2012.857142857143,0.22010356677415507,0.021982918849460915,0.007772623974317577,0.22037825015039786
SP,2012.857142857143,0.28339266728812634,0.026412016688701048,0.009338644951132503,0.2837226936129796
TO,2012.857142857143,0.18994049857462342,0.017225672834397732,0.006090577805579906,0.1901557386892146
