Estado,Ano,fuzzy_score_base,sensitivity_range,sensitivity_std,avg_score_mod
AC,2000,0.232805833971427,0.012908995604081985,0.004564306014308399,0.23296713586771817
AC,2010,0.23084186244917532,0.01312724832368864,0.004641474853100537,0.23100589148076214
AC,2012,0.2308112300368587,0.01314118972490691,0.004646404192561174,0.23097543327056957
AC,2014,0.2309181161642666,0.013242983276987391,0.004682395909982766,0.2310835913399228
AC,2016,0.2306576722237741,0.013242253776844237,0.004682137976523585,0.23082313828410012
AC,2018,0.23090428438757693,0.013330876733489788,0.0047134728926107195,0.23107085781918113
AC,2020,0.23078294044634587,0.013381574523486817,0.004731398394709609,0.23095014736253053
AL,2000,0.22008956653061076,0.021988460531593812,0.007774583377966345,0.22036431915188737
AL,2010,0.22006006390460317,0.021988684040332274,0.007774662405205216,0.22033481931869064
AL,2012,0.22044002938187338,0.022033414771549464,0.007790478100847296,0.2207153437202946
AL,2014,0.22087515442681713,0.02208160061084738,0.007807515438441739,0.22115107086221722
AL,2016,0.22120946388547125,0.02211553027817245,0.007819512141313524,0.22148580428256812
AL,2018,0.22115615738418987,0.022109633021848374,0.007817427015302672,0.22143242409324335
AL,2020,0.2207907853018273,0.022072796774347647,0.0078044026165679774,0.22106659173056492
AM,2000,0.5942362522996166,0.04067806994490031,0.014382773454602166,0.5937279672230067
AM,2010,0.5962898076906498,0.039734376805981686,0.014049106575959315,0.5957933143519484
AM,2012,0.5966164112609131,0.03956408376425602,0.013988895109600353,0.5961220457864854
AM,2014,0.5957242827824056,0.03950490445062427,0.013967970747596009,0.595230656771822
AM,2016,0.5980507191172038,0.038999618945996795,0.013789314116325287,0.5975634068054209
AM,2018,0.5978773121955795,0.03895213498503658,0.013772524945793285,0.5973905932105883
AM,2020,0.597603090891132,0.0388682850507901,0.013742877654019513,0.5971174196370264
AP,2000,0.2263708196208765,0.01479242385047419,0.005230240308205582,0.22655565553615636
AP,2010,0.22695595086660153,0.014910903366678857,0.005272131775595525,0.22714226722011394
AP,2012,0.2271971606906443,0.014957491272582807,0.005288604122913097,0.22738405917446308
AP,2014,0.22729974401630068,0.014968605184511069,0.005292533731119079,0.22748678137188955
AP,2016,0.22745628659876962,0.014998890544237697,0.005303241895703311,0.22764370237930365
AP,2018,0.22753583838048394,0.015012052343048504,0.005307895586766016,0.22772341862176862
AP,2020,0.22792564089952103,0.015052582561016992,0.005322226083367652,0.22811372757842605
BA,2000,0.4320599433308696,0.035700437077472336,0.012622803869777387,0.43250603134388277
BA,2010,0.4404673884713684,0.03682406115221443,0.013020089939078185,0.44092751651503403
BA,2012,0.4477765165649526,0.03775652769084037,0.013349787365657681,0.4482482960666806
BA,2014,0.4527727499108635,0.038339698582118054,0.013555982370138634,0.45325181631340944
BA,2016,0.4546334836021942,0.038555491191818225,0.013632281374066272,0.45511524640020085
BA,2018,0.45369797376209564,0.03843826193770972,0.013590831968861487,0.45417827174428177
BA,2020,0.45284186539119803,0.038357830687282046,0.013562393440309413,0.453321158360011
CE,2000,0.25220874560950446,0.023760168195939152,0.008401015998751388,0.2525056362665119
CE,2010,0.26012276113136173,0.024585503177014356,0.008692834319361046,0.2604299646044554
CE,2012,0.2617810319346128,0.024812533787052782,0.008773106806130106,0.26209107222546035
CE,2014,0.26127153633808514,0.024764914322834425,0.008756269724950744,0.26158098160898585
CE,2016,0.26144318572132774,0.02478060085408504,0.008761816099829683,0.2617528270002925
CE,2018,0.26160927020110103,0.024788053209658878,0.00876445107100867,0.2619190045995557
CE,2020,0.2635738767427015,0.024986320206066004,0.008834553445499658,0.2638860885486535
DF,2000,0.19818987932674767,0.0198684521143149,0.007025000105483799,0.19843814178656255
DF,2010,0.19808654485496907,0.019858161924544482,0.0070213617453434764,0.19833467873567728
DF,2012,0.1979833465714136,0.01984788538772883,0.007017728212554986,0.19823135204361297
DF,2014,0.1979257404764693,0.019842110340616614,0.007015686296740954,0.1981736737876673
DF,2016,0.1979257404764693,0.019842110340616614,0.007015686296740954,0.1981736737876673
DF,2018,0.19791931133973473,0.019841465815630704,0.007015458408424943,0.1981672365973935
DF,2020,0.19957685394809166,0.020007704656450326,0.007074236408219507,0.19982685641152875
ES,2000,0.22089679494211992,0.021882319324192545,0.007737054435656199,0.22117022129615208
ES,2010,0.22059608733449113,0.021878314079675776,0.007735638278877051,0.22086946364175314
ES,2012,0.22078260047343817,0.02190088486191233,0.007743618757007922,0.22105625880961144
ES,2014,0.22075174704422806,0.02189737685167434,0.007742378410142953,0.2210253615467274
ES,2016,0.2207557082462988,0.02189445448764027,0.007741345133492633,0.2210292862329549
ES,2018,0.220802492245612,0.021899697859055267,0.007743199061746911,0.22107613574981708
ES,2020,0.2215995296134565,0.021978494862237324,0.007771059760329812,0.22187415771060942
GO,2000,0.17994268101987157,0.015944015802871192,0.005637415136950029,0.18014190643309316
GO,2010,0.1664675831473392,0.01508537957840575,0.005333822308845612,0.16665607963512943
GO,2012,0.1658277706959033,0.01510298010097183,0.005340045424374286,0.16601648710767153
GO,2014,0.1682533614715411,0.01537560745460817,0.005436439807642481,0.1684454844464899
GO,2016,0.16875469754382713,0.015426834890773788,0.005454552579709303,0.1689474606214492
GO,2018,0.17088724401163313,0.01564511913548952,0.005531732565011154,0.17108273461846682
GO,2020,0.17606727797595495,0.016171889609351314,0.005717985757416552,0.1762693507429311
MA,2000,0.29208863435997345,0.02405285495868764,0.008504502899862348,0.29238918222868804
MA,2010,0.2728002578802013,0.02252865445316382,0.00796558277410335,0.2730817603917549
MA,2012,0.2653813199958198,0.021899838173741415,0.007743248673597861,0.26565496525330035
MA,2014,0.265206057809488,0.021945753027825643,0.007759483046206721,0.2654802767872842
MA,2016,0.2658045208600696,0.022121792707908594,0.007821726383736825,0.26608093950816464
MA,2018,0.26447969523488185,0.021906129494843496,0.007745473131303555,0.26475341910436717
MA,2020,0.26648491283819176,0.022129906064743743,0.007824595068840973,0.26676143286519216
MG,2000,0.40307068725427897,0.036474232051679434,0.012896398900942973,0.4035264440750373
MG,2010,0.4030010679625846,0.03664512131791686,0.012956821177748276,0.40345896009762655
MG,2012,0.40370734555225457,0.03683722531171729,0.013024744464824038,0.4041676380861684
MG,2014,0.40229256565067173,0.03670673428662746,0.012978606020835231,0.4027512276588312
MG,2016,0.407374005304485,0.03727942932654521,0.013181097019765818,0.4078398233144565
MG,2018,0.4070619716620757,0.0372443441909609,0.013168691771497721,0.4075273512724168
MG,2020,0.4092729857420627,0.03746544649165612,0.01324686815266572,0.40974112809409735
MS,2000,0.23333354835522022,0.020180309556959874,0.0071352652914616465,0.2335857075703222
MS,2010,0.22976827673235697,0.01990082739717297,0.007036447215917185,0.23001694373135356
MS,2012,0.2297073320462627,0.01990820302961474,0.007039055059667838,0.22995609120606994
MS,2014,0.23825332280244754,0.02077856764450431,0.0073467947605881465,0.23851295743755524
MS,2016,0.24153105910192457,0.021109029968072207,0.007463638178714829,0.24179482296606597
MS,2018,0.2444524229160277,0.021422092006091742,0.007574329280238815,0.24472009858724827
MS,2020,0.24622734424740544,0.021624026034318622,0.007645728227747794,0.24649754314682118
